First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY]
효민,강,777s-2030301@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
현서,공,777s-2030302@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
성호,김,777s-2030303@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
아영,김,777s-2030304@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
어진,김,777s-2030305@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
현호,문,777s-2030306@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
나현,박,777s-2030307@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
민준,박,777s-2030308@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
시은,박,777s-2030309@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
시후,박,777s-2030310@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
태빈,박,777s-2030311@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
민준,서,777s-2030312@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
재혁,양,777s-2030313@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
소율,육,777s-2030314@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
가은,이,777s-2030315@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
건우,이,777s-2030316@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
호욱,이,777s-2030317@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
다은,임,777s-2030318@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
시후,임,777s-2030319@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
서현,전,777s-2030320@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
래산,정,777s-2030321@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
정연,황,777s-2030322@cberi.go.kr,ssamko-e777,,/섭섭초등학교,,,,,,,,,,,,,,,,,,,,TRUE,
